plik,emocja_prawdziwa,emocja_predykcja,zgodność,prawd_emocji_prawidłowej_%,angry_%,disgust_%,fear_%,happy_%,sad_%,surprise_%,neutral_%
FER2013/test\angry\PublicTest_80355968.jpg,angry,happy,NIE,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_84889722.jpg,angry,neutral,NIE,36.98,36.98,0.0,0.01,2.62,0.4,0.08,59.91
FER2013/test\angry\PublicTest_18490757.jpg,angry,happy,NIE,25.35,25.35,0.0,11.47,48.11,14.98,0.0,0.09
FER2013/test\angry\PublicTest_17410266.jpg,angry,angry,TAK,99.53,99.53,0.0,0.47,0.01,0.0,0.0,0.0
FER2013/test\angry\PublicTest_39092344.jpg,angry,neutral,NIE,1.56,1.56,0.0,1.5,0.11,16.16,0.01,80.66
FER2013/test\angry\PublicTest_28247215.jpg,angry,angry,TAK,74.75,74.75,0.0,0.1,0.13,22.32,0.0,2.69
FER2013/test\angry\PublicTest_93035101.jpg,angry,neutral,NIE,0.0,0.0,0.0,0.0,34.23,0.0,0.0,65.77
FER2013/test\angry\PublicTest_41416509.jpg,angry,sad,NIE,24.67,24.67,1.8,0.11,0.0,50.18,0.0,23.24
FER2013/test\angry\PrivateTest_39884579.jpg,angry,angry,TAK,96.27,96.27,0.03,0.52,0.04,3.13,0.0,0.0
FER2013/test\angry\PublicTest_5460494.jpg,angry,angry,TAK,95.52,95.52,0.0,0.28,0.45,0.05,0.23,3.46
FER2013/test\angry\PublicTest_3218764.jpg,angry,surprise,NIE,21.13,21.13,0.0,0.16,10.19,0.02,68.45,0.04
FER2013/test\angry\PrivateTest_50057556.jpg,angry,angry,TAK,69.22,69.22,0.0,1.69,0.0,9.72,0.0,19.36
FER2013/test\angry\PrivateTest_7622844.jpg,angry,angry,TAK,98.0,98.0,0.09,1.7,0.0,0.17,0.0,0.04
FER2013/test\angry\PublicTest_3620949.jpg,angry,neutral,NIE,0.03,0.03,0.0,0.0,30.57,0.06,0.0,69.34
FER2013/test\angry\PublicTest_51099854.jpg,angry,angry,TAK,76.4,76.4,0.0,0.0,0.2,3.04,0.0,20.36
FER2013/test\angry\PublicTest_96319460.jpg,angry,fear,NIE,1.98,1.98,0.03,73.21,0.06,8.35,0.0,16.38
FER2013/test\angry\PublicTest_71211063.jpg,angry,angry,TAK,99.21,99.21,0.0,0.75,0.04,0.01,0.0,0.0
FER2013/test\angry\PrivateTest_61911448.jpg,angry,fear,NIE,0.14,0.14,0.0,98.69,0.0,1.16,0.01,0.0
FER2013/test\angry\PublicTest_9139860.jpg,angry,angry,TAK,91.73,91.73,0.0,1.23,0.0,6.96,0.0,0.08
FER2013/test\angry\PublicTest_81632115.jpg,angry,angry,TAK,84.09,84.09,0.01,2.99,0.04,12.49,0.01,0.37
FER2013/test\angry\PrivateTest_69615683.jpg,angry,angry,TAK,52.7,52.7,0.0,1.88,0.0,44.7,0.0,0.72
FER2013/test\angry\PrivateTest_47664873.jpg,angry,angry,TAK,99.83,99.83,0.0,0.0,0.14,0.02,0.0,0.01
FER2013/test\angry\PrivateTest_40087698.jpg,angry,sad,NIE,1.08,1.08,0.0,10.17,0.0,85.78,0.0,2.96
FER2013/test\angry\PrivateTest_87526826.jpg,angry,angry,TAK,97.62,97.62,0.0,0.05,2.16,0.06,0.0,0.11
FER2013/test\angry\PublicTest_50664677.jpg,angry,neutral,NIE,4.69,4.69,0.0,0.01,0.0,46.52,0.0,48.78
FER2013/test\angry\PublicTest_79887521.jpg,angry,angry,TAK,99.86,99.86,0.0,0.08,0.02,0.04,0.01,0.0
FER2013/test\angry\PublicTest_98688227.jpg,angry,neutral,NIE,0.07,0.07,0.0,0.01,0.07,1.36,0.0,98.49
FER2013/test\angry\PublicTest_49302808.jpg,angry,fear,NIE,34.63,34.63,0.31,48.86,3.49,9.36,2.75,0.59
FER2013/test\angry\PublicTest_73301522.jpg,angry,sad,NIE,26.36,26.36,0.0,0.38,0.44,51.27,0.01,21.55
FER2013/test\angry\PrivateTest_81957564.jpg,angry,fear,NIE,0.0,0.0,0.0,67.12,32.75,0.13,0.0,0.0
FER2013/test\angry\PrivateTest_8109968.jpg,angry,sad,NIE,15.11,15.11,0.0,2.19,0.0,68.68,0.0,14.02
FER2013/test\angry\PublicTest_62277373.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_47881235.jpg,angry,angry,TAK,88.23,88.23,0.0,6.54,1.11,0.0,4.12,0.0
FER2013/test\angry\PublicTest_38216771.jpg,angry,angry,TAK,51.74,51.74,0.15,41.4,0.0,4.24,0.58,1.89
FER2013/test\angry\PrivateTest_87767900.jpg,angry,angry,TAK,99.96,99.96,0.0,0.02,0.0,0.01,0.0,0.0
FER2013/test\angry\PrivateTest_51289612.jpg,angry,happy,NIE,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_81570893.jpg,angry,angry,TAK,98.52,98.52,0.0,0.38,0.45,0.44,0.0,0.2
FER2013/test\angry\PublicTest_18087247.jpg,angry,sad,NIE,1.14,1.14,0.0,7.05,0.0,50.12,0.1,41.6
FER2013/test\angry\PrivateTest_99757533.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_36696281.jpg,angry,happy,NIE,0.0,0.0,0.0,1.68,98.22,0.04,0.02,0.04
FER2013/test\angry\PublicTest_57272892.jpg,angry,fear,NIE,17.28,17.28,0.0,45.91,0.0,35.77,0.0,1.03
FER2013/test\angry\PublicTest_3344932.jpg,angry,neutral,NIE,0.03,0.03,0.0,0.91,0.0,4.99,0.0,94.07
FER2013/test\angry\PublicTest_31588880.jpg,angry,disgust,NIE,4.93,4.93,90.14,4.76,0.0,0.1,0.06,0.0
FER2013/test\angry\PrivateTest_35600895.jpg,angry,happy,NIE,0.25,0.25,0.0,25.48,53.4,7.46,0.09,13.33
FER2013/test\angry\PrivateTest_48563390.jpg,angry,angry,TAK,57.3,57.3,0.0,0.04,0.0,0.0,42.66,0.0
FER2013/test\angry\PublicTest_37985773.jpg,angry,angry,TAK,87.38,87.38,1.96,3.04,0.13,0.11,7.37,0.0
FER2013/test\angry\PublicTest_21110779.jpg,angry,happy,NIE,0.2,0.2,0.0,0.03,99.74,0.0,0.0,0.03
FER2013/test\angry\PrivateTest_41546093.jpg,angry,angry,TAK,92.79,92.79,0.0,0.47,0.05,6.07,0.0,0.61
FER2013/test\angry\PublicTest_96323579.jpg,angry,neutral,NIE,18.6,18.6,0.0,7.98,0.35,31.8,0.08,41.18
FER2013/test\angry\PublicTest_51080774.jpg,angry,angry,TAK,52.33,52.33,0.12,0.9,0.1,40.66,0.0,5.89
FER2013/test\angry\PrivateTest_75439838.jpg,angry,angry,TAK,48.53,48.53,0.49,3.22,0.0,47.43,0.02,0.31
FER2013/test\angry\PrivateTest_1054527.jpg,angry,fear,NIE,0.02,0.02,0.0,95.25,0.0,4.72,0.0,0.0
FER2013/test\angry\PrivateTest_52601919.jpg,angry,angry,TAK,97.42,97.42,0.02,1.83,0.0,0.3,0.05,0.38
FER2013/test\angry\PrivateTest_88658250.jpg,angry,sad,NIE,1.75,1.75,0.0,4.72,0.01,91.54,0.0,1.97
FER2013/test\angry\PublicTest_40824482.jpg,angry,fear,NIE,3.09,3.09,0.0,93.81,0.0,0.0,0.0,3.09
FER2013/test\angry\PublicTest_95548862.jpg,angry,fear,NIE,0.08,0.08,0.0,98.86,0.03,0.21,0.0,0.82
FER2013/test\angry\PublicTest_79575934.jpg,angry,angry,TAK,44.39,44.39,12.64,13.22,19.0,0.05,3.81,6.9
FER2013/test\angry\PublicTest_25092940.jpg,angry,neutral,NIE,0.89,0.89,0.0,0.37,0.0,39.72,0.0,59.02
FER2013/test\angry\PublicTest_1463394.jpg,angry,happy,NIE,0.32,0.32,0.01,0.06,99.47,0.08,0.0,0.06
FER2013/test\angry\PublicTest_70604594.jpg,angry,neutral,NIE,0.0,0.0,0.0,0.0,0.02,0.62,0.0,99.37
FER2013/test\angry\PublicTest_22869801.jpg,angry,sad,NIE,25.59,25.59,0.0,0.25,0.0,54.5,0.0,19.67
FER2013/test\angry\PrivateTest_12912780.jpg,angry,neutral,NIE,0.82,0.82,0.0,5.73,0.42,4.32,0.13,88.58
FER2013/test\angry\PrivateTest_55964197.jpg,angry,neutral,NIE,37.7,37.7,0.0,1.32,0.03,17.93,0.08,42.94
FER2013/test\angry\PrivateTest_62268762.jpg,angry,angry,TAK,78.7,78.7,0.0,21.06,0.0,0.22,0.01,0.0
FER2013/test\angry\PublicTest_49352382.jpg,angry,neutral,NIE,0.34,0.34,0.0,0.05,0.03,3.07,0.0,96.51
FER2013/test\angry\PublicTest_36836824.jpg,angry,angry,TAK,74.19,74.19,1.05,0.02,0.44,20.09,0.0,4.2
FER2013/test\angry\PublicTest_85454471.jpg,angry,surprise,NIE,0.0,0.0,0.0,4.03,0.01,0.0,95.96,0.0
FER2013/test\angry\PrivateTest_92905981.jpg,angry,angry,TAK,99.15,99.15,0.0,0.12,0.0,0.62,0.0,0.11
FER2013/test\angry\PrivateTest_28291041.jpg,angry,surprise,NIE,41.75,41.75,0.05,2.72,0.0,2.84,51.75,0.89
FER2013/test\angry\PrivateTest_55732114.jpg,angry,fear,NIE,1.39,1.39,0.0,94.37,0.02,4.22,0.0,0.0
FER2013/test\angry\PrivateTest_85837893.jpg,angry,neutral,NIE,12.52,12.52,0.0,0.2,0.0,9.13,0.0,78.14
FER2013/test\angry\PublicTest_98588078.jpg,angry,surprise,NIE,5.55,5.55,0.0,23.35,0.4,0.57,66.76,3.38
FER2013/test\angry\PublicTest_59731058.jpg,angry,angry,TAK,98.8,98.8,0.0,0.26,0.1,0.85,0.0,0.0
FER2013/test\angry\PrivateTest_75218231.jpg,angry,sad,NIE,0.34,0.34,0.0,0.16,0.08,99.43,0.0,0.0
FER2013/test\angry\PublicTest_25439815.jpg,angry,angry,TAK,40.81,40.81,0.14,12.47,0.01,12.78,11.46,22.32
FER2013/test\angry\PublicTest_97566169.jpg,angry,neutral,NIE,15.22,15.22,0.0,0.65,0.4,5.89,0.36,77.48
FER2013/test\angry\PrivateTest_56303739.jpg,angry,neutral,NIE,0.0,0.0,0.0,1.7,0.0,1.8,0.0,96.49
FER2013/test\angry\PublicTest_15140838.jpg,angry,sad,NIE,7.57,7.57,0.0,3.07,1.48,55.17,0.2,32.52
FER2013/test\angry\PrivateTest_64021465.jpg,angry,neutral,NIE,1.24,1.24,0.0,0.19,0.02,28.28,0.0,70.28
FER2013/test\angry\PrivateTest_19041965.jpg,angry,angry,TAK,62.04,62.04,0.0,31.63,0.11,0.0,6.22,0.0
FER2013/test\angry\PrivateTest_91160429.jpg,angry,sad,NIE,0.89,0.89,0.0,0.33,0.0,98.6,0.05,0.14
FER2013/test\angry\PublicTest_47890853.jpg,angry,sad,NIE,4.49,4.49,0.0,0.39,0.98,87.97,0.0,6.17
FER2013/test\angry\PublicTest_74470272.jpg,angry,angry,TAK,95.95,95.95,0.0,0.92,0.0,2.27,0.01,0.85
FER2013/test\angry\PublicTest_52070065.jpg,angry,neutral,NIE,1.28,1.28,0.01,1.14,0.04,4.4,0.0,93.14
FER2013/test\angry\PrivateTest_42359647.jpg,angry,surprise,NIE,0.28,0.28,0.0,5.38,0.02,0.0,94.31,0.0
FER2013/test\angry\PublicTest_59547782.jpg,angry,neutral,NIE,3.08,3.08,0.0,0.11,0.0,7.5,0.0,89.31
FER2013/test\angry\PrivateTest_77114722.jpg,angry,happy,NIE,4.84,4.84,0.0,29.37,40.84,0.01,24.48,0.46
FER2013/test\angry\PrivateTest_43108598.jpg,angry,angry,TAK,99.95,99.95,0.0,0.04,0.0,0.01,0.0,0.0
FER2013/test\angry\PrivateTest_86483004.jpg,angry,fear,NIE,15.64,15.64,0.15,44.37,0.0,39.44,0.0,0.4
FER2013/test\angry\PrivateTest_67702983.jpg,angry,angry,TAK,98.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_27318961.jpg,angry,angry,TAK,85.11,85.11,0.25,4.06,0.01,9.28,0.05,1.26
FER2013/test\angry\PrivateTest_98810281.jpg,angry,angry,TAK,97.32,97.32,0.01,2.38,0.07,0.01,0.15,0.06
FER2013/test\angry\PublicTest_51044199.jpg,angry,angry,TAK,84.13,84.13,0.0,0.78,0.0,14.73,0.0,0.36
FER2013/test\angry\PrivateTest_61094135.jpg,angry,fear,NIE,1.95,1.95,0.0,97.05,0.0,0.99,0.0,0.01
FER2013/test\angry\PrivateTest_55949412.jpg,angry,happy,NIE,0.0,0.0,0.0,0.0,99.66,0.0,0.0,0.34
FER2013/test\angry\PublicTest_81327668.jpg,angry,sad,NIE,0.0,0.0,0.0,0.25,0.0,98.12,0.0,1.64
FER2013/test\angry\PrivateTest_40516774.jpg,angry,sad,NIE,0.4,0.4,0.0,0.02,0.01,99.22,0.0,0.34
FER2013/test\angry\PrivateTest_13541561.jpg,angry,fear,NIE,0.0,0.0,0.0,88.58,0.0,11.42,0.0,0.0
FER2013/test\angry\PublicTest_94892531.jpg,angry,neutral,NIE,10.12,10.12,0.0,11.88,0.0,26.05,0.0,51.94
FER2013/test\angry\PrivateTest_20062601.jpg,angry,surprise,NIE,6.26,6.26,0.0,14.1,0.01,0.0,79.63,0.0
FER2013/test\angry\PublicTest_39135751.jpg,angry,happy,NIE,10.38,10.38,0.0,4.04,82.43,3.13,0.02,0.0
FER2013/test\angry\PrivateTest_91377915.jpg,angry,neutral,NIE,0.03,0.03,0.0,0.0,0.0,0.0,0.0,99.96
FER2013/test\angry\PublicTest_37985095.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_57865005.jpg,angry,disgust,NIE,9.53,9.53,82.64,7.22,0.01,0.46,0.13,0.0
FER2013/test\angry\PrivateTest_48663603.jpg,angry,angry,TAK,60.44,60.44,0.0,2.35,34.0,0.54,0.0,2.65
FER2013/test\angry\PrivateTest_61683353.jpg,angry,angry,TAK,45.31,45.31,0.05,22.19,31.38,0.54,0.5,0.02
FER2013/test\angry\PublicTest_65467730.jpg,angry,sad,NIE,21.18,21.18,0.0,3.41,0.11,40.4,0.05,34.85
FER2013/test\angry\PublicTest_87724897.jpg,angry,angry,TAK,73.4,73.4,0.0,15.58,0.34,0.11,10.56,0.01
FER2013/test\angry\PrivateTest_21230097.jpg,angry,angry,TAK,99.77,99.77,0.0,0.07,0.0,0.05,0.0,0.11
FER2013/test\angry\PrivateTest_64157579.jpg,angry,angry,TAK,95.41,95.41,0.0,4.57,0.02,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_1488292.jpg,angry,angry,TAK,88.28,88.28,0.0,0.06,11.49,0.03,0.03,0.1
FER2013/test\angry\PrivateTest_91030295.jpg,angry,sad,NIE,0.01,0.01,0.0,0.0,0.0,99.99,0.0,0.0
FER2013/test\angry\PrivateTest_50458423.jpg,angry,sad,NIE,30.92,30.92,0.0,3.76,0.13,43.93,0.0,21.26
FER2013/test\angry\PrivateTest_36922838.jpg,angry,happy,NIE,23.75,23.75,0.0,0.49,75.72,0.02,0.01,0.0
FER2013/test\angry\PrivateTest_37179185.jpg,angry,neutral,NIE,2.7,2.7,0.0,2.59,0.02,37.97,0.0,56.71
FER2013/test\angry\PublicTest_80242801.jpg,angry,sad,NIE,3.56,3.56,0.03,1.96,0.0,94.09,0.0,0.35
FER2013/test\angry\PublicTest_23991674.jpg,angry,fear,NIE,31.05,31.05,0.01,44.84,8.69,2.56,0.03,12.82
FER2013/test\angry\PrivateTest_55994277.jpg,angry,surprise,NIE,0.0,0.0,0.0,7.1,0.3,0.02,89.3,3.28
FER2013/test\angry\PrivateTest_53657743.jpg,angry,neutral,NIE,15.97,15.97,0.4,2.89,11.66,3.83,0.02,65.24
FER2013/test\angry\PrivateTest_4115089.jpg,angry,angry,TAK,99.76,99.76,0.0,0.0,0.0,0.21,0.0,0.02
FER2013/test\angry\PublicTest_32429079.jpg,angry,neutral,NIE,14.66,14.66,0.0,9.07,0.03,11.14,6.57,58.53
FER2013/test\angry\PrivateTest_37743545.jpg,angry,neutral,NIE,12.65,12.65,1.89,10.31,0.1,28.36,6.21,40.47
FER2013/test\angry\PublicTest_57154065.jpg,angry,neutral,NIE,3.37,3.37,0.0,8.68,0.0,0.94,0.0,87.02
FER2013/test\angry\PublicTest_14798104.jpg,angry,angry,TAK,83.39,83.39,0.0,7.31,0.28,0.0,9.03,0.0
FER2013/test\angry\PublicTest_52739184.jpg,angry,fear,NIE,5.45,5.45,0.07,81.36,5.67,1.04,6.41,0.0
FER2013/test\angry\PrivateTest_93912196.jpg,angry,neutral,NIE,20.92,20.92,0.0,3.98,4.06,10.27,0.01,60.75
FER2013/test\angry\PublicTest_98768812.jpg,angry,fear,NIE,2.01,2.01,0.0,79.66,0.21,3.85,13.88,0.38
FER2013/test\angry\PrivateTest_56890397.jpg,angry,neutral,NIE,9.23,9.23,0.0,1.91,3.69,1.74,0.06,83.37
FER2013/test\angry\PrivateTest_8892314.jpg,angry,angry,TAK,99.48,99.48,0.0,0.04,0.0,0.4,0.0,0.08
FER2013/test\angry\PrivateTest_59881597.jpg,angry,sad,NIE,18.13,18.13,0.0,10.5,0.0,47.83,0.0,23.53
FER2013/test\angry\PublicTest_93755857.jpg,angry,neutral,NIE,0.08,0.08,0.0,0.41,4.97,18.21,0.06,76.27
FER2013/test\angry\PublicTest_36659344.jpg,angry,sad,NIE,0.0,0.0,0.0,20.41,0.0,79.58,0.0,0.01
FER2013/test\angry\PrivateTest_45664220.jpg,angry,fear,NIE,0.21,0.21,0.0,56.49,1.39,0.69,41.21,0.02
FER2013/test\angry\PrivateTest_37308382.jpg,angry,sad,NIE,38.69,38.69,0.0,13.76,0.0,47.47,0.0,0.08
FER2013/test\angry\PublicTest_47886319.jpg,angry,happy,NIE,0.06,0.06,0.0,17.37,82.35,0.21,0.0,0.01
FER2013/test\angry\PrivateTest_86563903.jpg,angry,neutral,NIE,0.39,0.39,0.0,8.44,1.15,34.78,0.0,55.23
FER2013/test\angry\PrivateTest_52532461.jpg,angry,fear,NIE,0.0,0.0,0.0,99.01,0.08,0.0,0.91,0.0
FER2013/test\angry\PrivateTest_4690573.jpg,angry,fear,NIE,38.15,38.15,0.58,50.59,1.54,6.75,2.3,0.1
FER2013/test\angry\PrivateTest_38754185.jpg,angry,neutral,NIE,0.01,0.01,0.0,0.0,0.09,8.83,0.0,91.07
FER2013/test\angry\PrivateTest_1850005.jpg,angry,fear,NIE,0.02,0.02,0.0,99.83,0.0,0.0,0.14,0.0
FER2013/test\angry\PrivateTest_90059936.jpg,angry,sad,NIE,11.93,11.93,0.0,5.69,30.01,52.36,0.0,0.0
FER2013/test\angry\PrivateTest_33725180.jpg,angry,angry,TAK,63.5,63.5,0.01,1.07,0.0,24.73,0.0,10.68
FER2013/test\angry\PrivateTest_71429384.jpg,angry,neutral,NIE,7.31,7.31,0.0,3.71,0.48,35.57,0.04,52.9
FER2013/test\angry\PublicTest_36373260.jpg,angry,sad,NIE,4.58,4.58,0.0,8.0,0.0,43.71,0.01,43.69
FER2013/test\angry\PublicTest_90129237.jpg,angry,sad,NIE,29.63,29.63,0.01,0.02,0.0,70.34,0.0,0.01
FER2013/test\angry\PrivateTest_39621454.jpg,angry,angry,TAK,99.99,99.99,0.0,0.0,0.0,0.0,0.0,0.01
FER2013/test\angry\PublicTest_74012583.jpg,angry,neutral,NIE,0.07,0.07,0.0,0.0,0.35,0.16,0.0,99.42
FER2013/test\angry\PrivateTest_2328297.jpg,angry,fear,NIE,0.08,0.08,0.0,56.93,0.04,37.8,0.22,4.94
FER2013/test\angry\PrivateTest_8328778.jpg,angry,angry,TAK,66.02,66.02,0.0,0.42,0.0,12.79,0.0,20.76
FER2013/test\angry\PrivateTest_8186613.jpg,angry,angry,TAK,99.2,99.2,0.0,0.03,0.48,0.18,0.0,0.1
FER2013/test\angry\PublicTest_40202990.jpg,angry,fear,NIE,28.57,28.57,0.08,55.34,0.0,15.98,0.0,0.03
FER2013/test\angry\PublicTest_10813312.jpg,angry,neutral,NIE,24.39,24.39,0.0,0.0,0.18,0.8,0.0,74.63
FER2013/test\angry\PrivateTest_7543291.jpg,angry,angry,TAK,39.08,39.08,0.02,2.31,0.74,34.33,0.0,23.51
FER2013/test\angry\PrivateTest_4133015.jpg,angry,neutral,NIE,1.07,1.07,0.0,0.05,8.08,5.28,7.84,77.68
FER2013/test\angry\PrivateTest_87046596.jpg,angry,angry,TAK,95.46,95.46,0.0,4.16,0.04,0.33,0.0,0.01
FER2013/test\angry\PublicTest_87739948.jpg,angry,angry,TAK,99.97,99.97,0.0,0.03,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_98403294.jpg,angry,angry,TAK,99.89,99.89,0.0,0.04,0.05,0.0,0.01,0.0
FER2013/test\angry\PrivateTest_33237326.jpg,angry,sad,NIE,3.65,3.65,0.0,9.13,0.0,87.18,0.0,0.04
FER2013/test\angry\PublicTest_12871755.jpg,angry,sad,NIE,14.18,14.18,0.13,29.36,0.59,43.05,0.05,12.64
FER2013/test\angry\PublicTest_63906265.jpg,angry,angry,TAK,70.14,70.14,0.01,24.07,0.03,3.52,0.32,1.92
FER2013/test\angry\PrivateTest_43537573.jpg,angry,angry,TAK,54.25,54.25,0.0,5.92,0.21,10.62,2.16,26.84
FER2013/test\angry\PublicTest_17986076.jpg,angry,angry,TAK,99.91,99.91,0.0,0.0,0.0,0.09,0.0,0.0
FER2013/test\angry\PublicTest_60180640.jpg,angry,surprise,NIE,1.37,1.37,0.0,1.57,0.87,0.0,96.19,0.0
FER2013/test\angry\PrivateTest_64954005.jpg,angry,angry,TAK,98.62,98.62,0.01,0.14,0.01,0.67,0.13,0.42
FER2013/test\angry\PublicTest_74656440.jpg,angry,angry,TAK,79.69,79.69,0.0,0.83,0.03,18.47,0.0,0.97
FER2013/test\angry\PrivateTest_92109608.jpg,angry,sad,NIE,6.65,6.65,0.01,6.19,0.01,68.5,0.0,18.64
FER2013/test\angry\PublicTest_47434180.jpg,angry,neutral,NIE,5.01,5.01,0.0,0.66,0.06,38.84,0.0,55.44
FER2013/test\angry\PublicTest_4105485.jpg,angry,angry,TAK,53.28,53.28,2.15,26.5,0.07,15.25,0.2,2.54
FER2013/test\angry\PrivateTest_33643985.jpg,angry,angry,TAK,99.99,99.99,0.0,0.01,0.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_9211328.jpg,angry,fear,NIE,0.4,0.4,0.0,69.57,0.0,29.96,0.0,0.07
FER2013/test\angry\PublicTest_75454944.jpg,angry,angry,TAK,73.3,73.3,0.02,5.69,0.21,10.11,0.89,9.78
FER2013/test\angry\PrivateTest_67252628.jpg,angry,fear,NIE,0.56,0.56,0.01,83.93,2.67,0.49,12.21,0.14
FER2013/test\angry\PrivateTest_48897228.jpg,angry,neutral,NIE,0.0,0.0,0.0,0.0,0.0,0.01,0.0,99.99
FER2013/test\angry\PrivateTest_64130863.jpg,angry,angry,TAK,99.59,99.59,0.0,0.01,0.0,0.39,0.0,0.02
FER2013/test\angry\PrivateTest_9084163.jpg,angry,angry,TAK,99.78,99.78,0.0,0.17,0.05,0.0,0.0,0.0
FER2013/test\angry\PublicTest_38165746.jpg,angry,angry,TAK,71.4,71.4,0.0,0.01,0.06,2.42,0.0,26.11
FER2013/test\angry\PublicTest_1419488.jpg,angry,fear,NIE,0.03,0.03,0.0,61.39,0.0,32.79,0.0,5.78
FER2013/test\angry\PrivateTest_44351620.jpg,angry,neutral,NIE,0.0,0.0,0.0,0.0,0.04,0.22,0.0,99.74
FER2013/test\angry\PrivateTest_99179335.jpg,angry,angry,TAK,50.0,50.0,15.89,11.78,0.02,18.41,0.13,3.78
FER2013/test\angry\PrivateTest_12846357.jpg,angry,angry,TAK,92.01,92.01,0.0,0.21,0.0,7.66,0.0,0.11
FER2013/test\angry\PublicTest_49162234.jpg,angry,neutral,NIE,0.01,0.01,0.0,0.08,0.0,24.71,0.0,75.19
FER2013/test\angry\PrivateTest_20304950.jpg,angry,happy,NIE,0.2,0.2,0.0,1.8,87.96,0.44,9.52,0.08
FER2013/test\angry\PrivateTest_35759444.jpg,angry,angry,TAK,99.63,99.63,0.0,0.36,0.01,0.01,0.0,0.0
FER2013/test\angry\PublicTest_49264937.jpg,angry,sad,NIE,13.18,13.18,0.0,18.28,0.0,53.72,0.0,14.82
FER2013/test\angry\PrivateTest_50685265.jpg,angry,angry,TAK,96.23,96.23,0.0,1.68,0.45,1.59,0.0,0.05
FER2013/test\angry\PrivateTest_73860110.jpg,angry,angry,TAK,94.31,94.31,0.0,0.0,1.78,0.59,0.01,3.31
FER2013/test\angry\PublicTest_16770619.jpg,angry,angry,TAK,62.46,62.46,0.86,23.32,0.0,11.87,1.43,0.05
FER2013/test\angry\PublicTest_5767290.jpg,angry,angry,TAK,73.28,73.28,0.0,26.66,0.0,0.06,0.0,0.0
FER2013/test\angry\PrivateTest_75806988.jpg,angry,surprise,NIE,0.06,0.06,1.31,0.03,0.0,0.0,98.6,0.0
FER2013/test\angry\PublicTest_40690128.jpg,angry,angry,TAK,99.99,99.99,0.0,0.01,0.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_44679916.jpg,angry,surprise,NIE,18.05,18.05,0.0,1.57,0.0,0.16,80.11,0.12
FER2013/test\angry\PublicTest_71579768.jpg,angry,neutral,NIE,12.26,12.26,0.0,8.79,0.43,29.45,0.15,48.92
FER2013/test\angry\PublicTest_47374366.jpg,angry,angry,TAK,81.46,81.46,0.0,17.0,0.36,0.0,1.18,0.0
FER2013/test\angry\PrivateTest_70570336.jpg,angry,sad,NIE,0.0,0.0,0.06,40.82,10.46,47.99,0.0,0.68
FER2013/test\angry\PublicTest_57157029.jpg,angry,neutral,NIE,0.17,0.17,0.0,35.56,0.01,17.23,0.07,46.96
FER2013/test\angry\PublicTest_87391496.jpg,angry,angry,TAK,99.95,99.95,0.0,0.03,0.01,0.01,0.0,0.0
FER2013/test\angry\PublicTest_67751726.jpg,angry,angry,TAK,94.19,94.19,0.01,0.73,0.0,4.95,0.0,0.12
FER2013/test\angry\PrivateTest_69790470.jpg,angry,neutral,NIE,6.31,6.31,0.0,33.19,0.52,6.71,1.21,52.05
FER2013/test\angry\PrivateTest_78158043.jpg,angry,sad,NIE,7.14,7.14,0.0,0.0,0.0,79.99,0.0,12.86
FER2013/test\angry\PublicTest_68682113.jpg,angry,angry,TAK,99.96,99.96,0.0,0.02,0.0,0.02,0.0,0.0
FER2013/test\angry\PrivateTest_37336573.jpg,angry,sad,NIE,22.95,22.95,0.12,21.88,0.12,29.45,0.03,25.45
FER2013/test\angry\PrivateTest_12403575.jpg,angry,fear,NIE,2.31,2.31,30.42,50.62,0.01,16.59,0.01,0.05
FER2013/test\angry\PrivateTest_51662301.jpg,angry,angry,TAK,88.62,88.62,0.0,10.51,0.21,0.3,0.33,0.02
FER2013/test\angry\PrivateTest_30802398.jpg,angry,sad,NIE,0.15,0.15,0.0,3.11,0.01,77.0,0.0,19.73
FER2013/test\angry\PrivateTest_44746016.jpg,angry,neutral,NIE,3.66,3.66,0.01,0.55,0.56,41.73,0.0,53.49
FER2013/test\angry\PrivateTest_32298306.jpg,angry,angry,TAK,94.68,94.68,0.0,5.3,0.0,0.02,0.0,0.0
FER2013/test\angry\PrivateTest_86650314.jpg,angry,sad,NIE,16.83,16.83,0.01,6.93,0.09,41.96,0.1,34.09
FER2013/test\angry\PrivateTest_91554872.jpg,angry,neutral,NIE,0.0,0.0,0.0,0.0,1.42,0.06,0.0,98.52
